id,year,date,winner,result,win_by_runs,win_by_wickets,player_of_match,team1,team2,toss_winner,toss_decision,umpire1,umpire2,venue
882,2009,2009-10-28,India,normal,99,,MS Dhoni,India,Australia,Australia,field,AM Saheba,SK Tarapore,"Vidarbha Cricket Association Stadium, Jamtha"
883,2009,2009-10-31,India,normal,,6,Yuvraj Singh,India,Australia,Australia,bat,SS Hazare,AM Saheba,Feroz Shah Kotla
884,2009,2009-11-02,Australia,normal,24,,SR Watson,India,Australia,India,field,EAR de Silva,AM Saheba,"Punjab Cricket Association Stadium, Mohali"
885,2009,2009-11-05,Australia,normal,3,,SR Tendulkar,India,Australia,Australia,bat,EAR de Silva,SK Tarapore,"Rajiv Gandhi International Stadium, Uppal"
886,2009,2009-11-08,Australia,normal,,6,DE Bollinger,India,Australia,India,bat,EAR de Silva,SK Tarapore,Nehru Stadium
887,2009,2009-10-27,Zimbabwe,normal,,5,E Chigumbura,Bangladesh,Zimbabwe,Zimbabwe,field,Aleem Dar,Nadir Shah,Shere Bangla National Stadium
888,2009,2009-10-29,Bangladesh,normal,,7,Abdur Razzak,Bangladesh,Zimbabwe,Zimbabwe,bat,Aleem Dar,Enamul Haque,Shere Bangla National Stadium
889,2009,2009-10-31,Bangladesh,normal,,4,Tamim Iqbal,Bangladesh,Zimbabwe,Bangladesh,field,Aleem Dar,Nadir Shah,Shere Bangla National Stadium
890,2009,2009-11-03,Bangladesh,normal,,6,Nazmul Hossain,Bangladesh,Zimbabwe,Zimbabwe,bat,Aleem Dar,Nadir Shah,Zohur Ahmed Chowdhury Stadium
891,2009,2009-11-05,Bangladesh,normal,,1,Naeem Islam,Bangladesh,Zimbabwe,Bangladesh,field,Aleem Dar,Enamul Haque,Zohur Ahmed Chowdhury Stadium
892,2009,2009-10-21,South Africa,normal,,7,C Brits,South Africa,West Indies,South Africa,field,AT Holdstock,CD Isaacs,Boland Bank Park
893,2010,2010-02-05,New Zealand,normal,146,,JDP Oram,New Zealand,Bangladesh,New Zealand,bat,RA Kettleborough,EA Watkin,McLean Park
894,2010,2010-02-08,New Zealand,normal,,5,LRPL Taylor,New Zealand,Bangladesh,New Zealand,field,AL Hill,RA Kettleborough,University Oval
895,2010,2010-02-11,New Zealand,normal,,3,MJ Guptill,New Zealand,Bangladesh,New Zealand,field,GAV Baxter,RA Kettleborough,AMI Stadium
896,2010,2010-03-03,New Zealand,normal,,2,LRPL Taylor,New Zealand,Australia,Australia,bat,AL Hill,RE Koertzen,McLean Park
897,2010,2010-03-06,Australia,normal,12,,DL Vettori,New Zealand,Australia,Australia,bat,BF Bowden,RE Koertzen,Eden Park
898,2010,2010-03-09,Australia,normal,,6,BJ Haddin,New Zealand,Australia,Australia,field,Asad Rauf,BF Bowden,Seddon Park
899,2010,2010-03-11,Australia,normal,,6,CL White,New Zealand,Australia,Australia,field,Asad Rauf,GAV Baxter,Eden Park
900,2010,2010-03-13,New Zealand,normal,51,,TG Southee,New Zealand,Australia,Australia,field,Asad Rauf,GAV Baxter,Westpac Stadium
901,2010,2010-06-17,Australia,normal,39,,JR Hopes,Ireland,Australia,Australia,bat,RA Kettleborough,NJ Llong,Clontarf Cricket Club Ground
902,2010,2010-06-22,England,normal,,4,EJG Morgan,England,Australia,Australia,bat,Aleem Dar,IJ Gould,The Rose Bowl
903,2010,2010-06-24,England,normal,,4,SCJ Broad,England,Australia,Australia,bat,Aleem Dar,NJ Llong,Sophia Gardens
904,2010,2010-06-27,England,normal,,1,GP Swann,England,Australia,England,field,Aleem Dar,IJ Gould,Old Trafford
905,2010,2010-06-30,Australia,normal,78,,RJ Harris,England,Australia,England,field,Aleem Dar,RA Kettleborough,Kennington Oval
906,2010,2010-07-03,Australia,normal,42,,SW Tait,England,Australia,Australia,bat,Aleem Dar,NJ Llong,Lord's
907,2010,2010-07-08,England,normal,,6,IR Bell,England,Bangladesh,Bangladesh,bat,Asad Rauf,NJ Llong,Trent Bridge
908,2010,2010-07-10,Bangladesh,normal,5,,Mashrafe Mortaza,England,Bangladesh,England,field,Asad Rauf,RK Illingworth,County Ground
909,2010,2010-07-12,England,normal,144,,AJ Strauss,England,Bangladesh,Bangladesh,field,Asad Rauf,RA Kettleborough,Edgbaston
910,2010,2010-02-28,England,normal,,6,Tamim Iqbal,Bangladesh,England,England,field,Nadir Shah,RJ Tucker,Shere Bangla National Stadium
911,2010,2010-03-02,England,normal,,2,EJG Morgan,Bangladesh,England,England,field,Nadir Shah,RJ Tucker,Shere Bangla National Stadium
912,2010,2010-03-05,England,normal,45,,C Kieswetter,Bangladesh,England,Bangladesh,field,Enamul Haque,RJ Tucker,Zohur Ahmed Chowdhury Stadium
913,2010,2010-09-10,England,normal,24,,SM Davies,England,Pakistan,Pakistan,field,BR Doctrove,IJ Gould,Riverside Ground
914,2010,2010-09-12,England,normal,,4,AJ Strauss,England,Pakistan,Pakistan,bat,BR Doctrove,NJ Llong,Headingley
915,2010,2010-09-17,Pakistan,normal,23,,Umar Gul,England,Pakistan,Pakistan,bat,BR Doctrove,RK Illingworth,Kennington Oval
916,2010,2010-09-20,Pakistan,normal,38,,Abdul Razzaq,England,Pakistan,Pakistan,bat,BR Doctrove,RA Kettleborough,Lord's
917,2010,2010-09-22,England,normal,121,,EJG Morgan,England,Pakistan,England,bat,BR Doctrove,IJ Gould,The Rose Bowl
918,2009,2009-11-03,Pakistan,normal,138,,Shahid Afridi,New Zealand,Pakistan,Pakistan,bat,Asad Rauf,BNJ Oxenford,Sheikh Zayed Stadium
919,2009,2009-11-06,New Zealand,normal,64,,BB McCullum,New Zealand,Pakistan,New Zealand,bat,BNJ Oxenford,Zameer Haider,Sheikh Zayed Stadium
920,2009,2009-11-09,New Zealand,normal,7,,Mohammad Amir,New Zealand,Pakistan,New Zealand,bat,Nadeem Ghauri,BNJ Oxenford,Sheikh Zayed Stadium
921,2009,2009-11-08,South Africa,normal,45,,T Taibu,South Africa,Zimbabwe,Zimbabwe,field,HDPK Dharmasena,RE Koertzen,Willowmoore Park
922,2009,2009-11-10,South Africa,normal,212,,JP Duminy,South Africa,Zimbabwe,Zimbabwe,field,JD Cloete,HDPK Dharmasena,SuperSport Park
923,2009,2009-12-15,India,normal,3,,V Sehwag,India,Sri Lanka,Sri Lanka,field,M Erasmus,SK Tarapore,Madhavrao Scindia Cricket Ground
924,2009,2009-12-18,Sri Lanka,normal,,3,TM Dilshan,India,Sri Lanka,India,bat,M Erasmus,SK Tarapore,"Vidarbha Cricket Association Stadium, Jamtha"
925,2009,2009-12-21,India,normal,,7,RA Jadeja,India,Sri Lanka,Sri Lanka,bat,M Erasmus,SS Hazare,Barabati Stadium
926,2009,2009-12-24,India,normal,,7,G Gambhir,India,Sri Lanka,Sri Lanka,bat,M Erasmus,SS Hazare,Eden Gardens
927,2009,2009-12-27,NA,no result,,,NA,India,Sri Lanka,India,field,M Erasmus,SK Tarapore,Feroz Shah Kotla
928,2011,2011-02-19,India,normal,87,,V Sehwag,Bangladesh,India,Bangladesh,field,SJ Davis,HDPK Dharmasena,Shere Bangla National Stadium
929,2011,2011-02-20,New Zealand,normal,,10,HK Bennett,Kenya,New Zealand,Kenya,bat,M Erasmus,RJ Tucker,"MA Chidambaram Stadium, Chepauk"
930,2011,2011-02-20,Sri Lanka,normal,210,,DPMD Jayawardene,Sri Lanka,Canada,Sri Lanka,bat,IJ Gould,SK Tarapore,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
931,2011,2011-02-21,Australia,normal,91,,SR Watson,Australia,Zimbabwe,Australia,bat,EAR de Silva,RA Kettleborough,"Sardar Patel Stadium, Motera"
932,2011,2011-02-22,England,normal,,6,RN ten Doeschate,England,Netherlands,Netherlands,bat,Asad Rauf,BNJ Oxenford,"Vidarbha Cricket Association Stadium, Jamtha"
933,2011,2011-02-23,Pakistan,normal,205,,Umar Akmal,Kenya,Pakistan,Pakistan,bat,AL Hill,NJ Llong,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
934,2011,2011-02-24,South Africa,normal,,7,AB de Villiers,South Africa,West Indies,South Africa,field,AM Saheba,SJA Taufel,Feroz Shah Kotla
935,2011,2011-02-25,Australia,normal,,7,MG Johnson,Australia,New Zealand,Australia,field,HDPK Dharmasena,BR Doctrove,"Vidarbha Cricket Association Stadium, Jamtha"
936,2011,2011-02-25,Bangladesh,normal,27,,Tamim Iqbal,Bangladesh,Ireland,Bangladesh,bat,Aleem Dar,RJ Tucker,Shere Bangla National Stadium
937,2011,2011-02-26,Pakistan,normal,11,,Shahid Afridi,Sri Lanka,Pakistan,Pakistan,bat,IJ Gould,DJ Harper,R Premadasa Stadium
938,2011,2011-02-27,NA,tie,,,AJ Strauss,India,England,India,bat,BF Bowden,M Erasmus,M Chinnaswamy Stadium
939,2011,2011-02-28,West Indies,normal,215,,KAJ Roach,Netherlands,West Indies,Netherlands,field,AM Saheba,SJA Taufel,Feroz Shah Kotla
940,2011,2011-02-28,Zimbabwe,normal,175,,T Taibu,Canada,Zimbabwe,Zimbabwe,bat,Asad Rauf,BNJ Oxenford,"Vidarbha Cricket Association Stadium, Jamtha"
941,2011,2011-03-01,Sri Lanka,normal,,9,SL Malinga,Sri Lanka,Kenya,Kenya,bat,AL Hill,SK Tarapore,R Premadasa Stadium
942,2011,2011-03-02,Ireland,normal,,3,KJ O'Brien,England,Ireland,England,bat,Aleem Dar,BF Bowden,M Chinnaswamy Stadium
943,2011,2011-03-03,South Africa,normal,231,,AB de Villiers,Netherlands,South Africa,Netherlands,field,EAR de Silva,RA Kettleborough,"Punjab Cricket Association Stadium, Mohali"
944,2011,2011-03-03,Pakistan,normal,46,,Shahid Afridi,Canada,Pakistan,Pakistan,bat,DJ Harper,NJ Llong,R Premadasa Stadium
945,2011,2011-03-04,New Zealand,normal,,10,MJ Guptill,New Zealand,Zimbabwe,Zimbabwe,bat,Aleem Dar,M Erasmus,"Sardar Patel Stadium, Motera"
946,2011,2011-03-04,West Indies,normal,,9,KAJ Roach,Bangladesh,West Indies,Bangladesh,bat,SJ Davis,HDPK Dharmasena,Shere Bangla National Stadium
947,2011,2011-03-05,NA,no result,,,NA,Sri Lanka,Australia,Sri Lanka,bat,IJ Gould,AL Hill,R Premadasa Stadium
948,2011,2011-03-06,India,normal,,5,Yuvraj Singh,India,Ireland,India,field,BF Bowden,RJ Tucker,M Chinnaswamy Stadium
949,2011,2011-03-06,England,normal,6,,RS Bopara,England,South Africa,England,bat,AM Saheba,SJA Taufel,"MA Chidambaram Stadium, Chepauk"
950,2011,2011-03-07,Canada,normal,,5,H Osinde,Canada,Kenya,Kenya,bat,Asad Rauf,BR Doctrove,Feroz Shah Kotla
951,2011,2011-03-08,New Zealand,normal,110,,LRPL Taylor,New Zealand,Pakistan,New Zealand,bat,DJ Harper,NJ Llong,Pallekele International Cricket Stadium
952,2011,2011-03-09,India,normal,,5,Yuvraj Singh,India,Netherlands,Netherlands,bat,SJ Davis,BNJ Oxenford,Feroz Shah Kotla
953,2011,2011-03-10,Sri Lanka,normal,139,,TM Dilshan,Sri Lanka,Zimbabwe,Zimbabwe,field,M Erasmus,NJ Llong,Pallekele International Cricket Stadium
954,2011,2011-03-11,West Indies,normal,44,,KA Pollard,Ireland,West Indies,Ireland,field,EAR de Silva,SK Tarapore,"Punjab Cricket Association Stadium, Mohali"
955,2011,2011-03-11,Bangladesh,normal,,2,Imrul Kayes,Bangladesh,England,Bangladesh,field,DJ Harper,RJ Tucker,Zahur Ahmed Chowdhury Stadium
956,2011,2011-03-12,South Africa,normal,,3,DW Steyn,India,South Africa,India,bat,IJ Gould,SJA Taufel,"Vidarbha Cricket Association Stadium, Jamtha"
957,2011,2011-03-13,New Zealand,normal,97,,BB McCullum,Canada,New Zealand,Canada,field,BNJ Oxenford,SK Tarapore,Wankhede Stadium
958,2011,2011-03-13,Australia,normal,60,,CO Obuya,Australia,Kenya,Australia,bat,Asad Rauf,RA Kettleborough,M Chinnaswamy Stadium
959,2011,2011-03-14,Pakistan,normal,,7,Umar Gul,Pakistan,Zimbabwe,Zimbabwe,bat,AL Hill,NJ Llong,Pallekele International Cricket Stadium
960,2011,2011-03-14,Bangladesh,normal,,6,Imrul Kayes,Bangladesh,Netherlands,Netherlands,bat,Aleem Dar,RJ Tucker,Zahur Ahmed Chowdhury Stadium
961,2011,2011-03-15,South Africa,normal,131,,JP Duminy,Ireland,South Africa,Ireland,field,HDPK Dharmasena,BR Doctrove,Eden Gardens
962,2011,2011-03-16,Australia,normal,,7,SR Watson,Australia,Canada,Canada,bat,BF Bowden,AM Saheba,M Chinnaswamy Stadium
963,2011,2011-03-17,England,normal,18,,JC Tredwell,England,West Indies,England,bat,SJ Davis,BNJ Oxenford,"MA Chidambaram Stadium, Chepauk"
964,2011,2011-03-18,Sri Lanka,normal,112,,KC Sangakkara,New Zealand,Sri Lanka,Sri Lanka,bat,Asad Rauf,RA Kettleborough,Wankhede Stadium
965,2011,2011-03-18,Ireland,normal,,6,PR Stirling,Ireland,Netherlands,Ireland,field,BR Doctrove,IJ Gould,Eden Gardens
966,2011,2011-03-19,Pakistan,normal,,4,Umar Akmal,Australia,Pakistan,Australia,bat,M Erasmus,AL Hill,R Premadasa Stadium
967,2011,2011-03-19,South Africa,normal,206,,LL Tsotsobe,Bangladesh,South Africa,South Africa,bat,Aleem Dar,DJ Harper,Shere Bangla National Stadium
968,2011,2011-03-20,Zimbabwe,normal,161,,CR Ervine,Kenya,Zimbabwe,Zimbabwe,bat,EAR de Silva,HDPK Dharmasena,Eden Gardens
969,2011,2011-03-20,India,normal,80,,Yuvraj Singh,India,West Indies,India,bat,SJ Davis,SJA Taufel,"MA Chidambaram Stadium, Chepauk"
970,2011,2011-03-23,Pakistan,normal,,10,Mohammad Hafeez,Pakistan,West Indies,West Indies,bat,BF Bowden,SJ Davis,Shere Bangla National Stadium
971,2011,2011-03-24,India,normal,,5,Yuvraj Singh,India,Australia,Australia,bat,M Erasmus,IJ Gould,"Sardar Patel Stadium, Motera"
972,2011,2011-03-25,New Zealand,normal,49,,JDP Oram,New Zealand,South Africa,New Zealand,bat,Aleem Dar,RJ Tucker,Shere Bangla National Stadium
973,2011,2011-03-26,Sri Lanka,normal,,10,TM Dilshan,Sri Lanka,England,England,bat,BR Doctrove,SJA Taufel,R Premadasa Stadium
974,2011,2011-03-29,Sri Lanka,normal,,5,KC Sangakkara,Sri Lanka,New Zealand,New Zealand,bat,Aleem Dar,SJ Davis,R Premadasa Stadium
975,2011,2011-03-30,India,normal,29,,SR Tendulkar,India,Pakistan,India,bat,IJ Gould,SJA Taufel,"Punjab Cricket Association Stadium, Mohali"
976,2011,2011-04-02,India,normal,,6,MS Dhoni,India,Sri Lanka,Sri Lanka,bat,Aleem Dar,SJA Taufel,Wankhede Stadium
977,2010,2010-01-04,Sri Lanka,normal,,7,TM Dilshan,Bangladesh,Sri Lanka,Sri Lanka,field,Enamul Haque,IJ Gould,Shere Bangla National Stadium
978,2010,2010-01-05,Sri Lanka,normal,,5,TT Samaraweera,India,Sri Lanka,Sri Lanka,field,Nadir Shah,SJA Taufel,Shere Bangla National Stadium
979,2010,2010-01-07,India,normal,,6,MS Dhoni,Bangladesh,India,Bangladesh,bat,Enamul Haque,IJ Gould,Shere Bangla National Stadium
980,2010,2010-01-08,Sri Lanka,normal,,9,WU Tharanga,Bangladesh,Sri Lanka,Sri Lanka,field,Sharfuddoula,SJA Taufel,Shere Bangla National Stadium
981,2010,2010-01-10,India,normal,,8,Z Khan,India,Sri Lanka,Sri Lanka,bat,Enamul Haque,IJ Gould,Shere Bangla National Stadium
982,2010,2010-01-11,India,normal,,6,V Kohli,Bangladesh,India,India,field,Sharfuddoula,SJA Taufel,Shere Bangla National Stadium
983,2010,2010-01-13,Sri Lanka,normal,,4,KMDN Kulasekara,India,Sri Lanka,Sri Lanka,field,Enamul Haque,IJ Gould,Shere Bangla National Stadium
984,2010,2010-03-04,Zimbabwe,normal,2,,V Sibanda,West Indies,Zimbabwe,Zimbabwe,bat,CR Duncan,SJA Taufel,Providence Stadium
985,2010,2010-03-06,West Indies,normal,,4,N Deonarine,West Indies,Zimbabwe,Zimbabwe,bat,CR Duncan,SJA Taufel,Providence Stadium
986,2010,2010-03-10,West Indies,normal,141,,DJG Sammy,West Indies,Zimbabwe,Zimbabwe,field,NA Malcolm,SJA Taufel,"Arnos Vale Ground, Kingstown"
987,2010,2010-03-12,West Indies,normal,,4,DJ Bravo,West Indies,Zimbabwe,West Indies,field,NA Malcolm,SJA Taufel,"Arnos Vale Ground, Kingstown"
988,2010,2010-03-14,West Indies,normal,,4,CH Gayle,West Indies,Zimbabwe,West Indies,field,NA Malcolm,SJA Taufel,"Arnos Vale Ground, Kingstown"
989,2010,2010-05-22,South Africa,normal,66,,HM Amla,West Indies,South Africa,West Indies,field,DJ Harper,NA Malcolm,"Sir Vivian Richards Stadium, North Sound"
990,2010,2010-05-24,South Africa,normal,17,,HM Amla,West Indies,South Africa,South Africa,bat,CR Duncan,DJ Harper,"Sir Vivian Richards Stadium, North Sound"
991,2010,2010-05-28,South Africa,normal,67,,AB de Villiers,West Indies,South Africa,South Africa,bat,BR Doctrove,DJ Harper,"Windsor Park, Roseau"
992,2010,2010-05-30,South Africa,normal,,7,HM Amla,West Indies,South Africa,West Indies,bat,BR Doctrove,DJ Harper,"Windsor Park, Roseau"
993,2010,2010-06-03,South Africa,normal,,1,JH Kallis,West Indies,South Africa,West Indies,bat,DJ Harper,NA Malcolm,"Queen's Park Oval, Port of Spain"
994,2010,2010-02-21,India,normal,1,,RA Jadeja,India,South Africa,South Africa,field,AM Saheba,SK Tarapore,Sawai Mansingh Stadium
995,2010,2010-02-24,India,normal,153,,SR Tendulkar,India,South Africa,India,bat,IJ Gould,SK Tarapore,Captain Roop Singh Stadium
996,2010,2010-02-27,South Africa,normal,90,,AB de Villiers,India,South Africa,South Africa,bat,IJ Gould,SS Hazare,"Sardar Patel Stadium, Motera"
997,2010,2010-11-03,Sri Lanka,normal,,1,AD Mathews,Australia,Sri Lanka,Australia,bat,M Erasmus,PR Reiffel,Melbourne Cricket Ground
998,2010,2010-11-05,Sri Lanka,normal,29,,WU Tharanga,Australia,Sri Lanka,Sri Lanka,bat,M Erasmus,BNJ Oxenford,Sydney Cricket Ground
999,2010,2010-11-07,Australia,normal,,8,CJ McKay,Australia,Sri Lanka,Sri Lanka,bat,M Erasmus,PR Reiffel,"Brisbane Cricket Ground, Woolloongabba"
1000,2011,2011-01-16,Australia,normal,,6,SR Watson,Australia,England,England,bat,BF Bowden,BNJ Oxenford,Melbourne Cricket Ground
1001,2011,2011-01-21,Australia,normal,46,,SE Marsh,Australia,England,England,field,AL Hill,PR Reiffel,Bellerive Oval
1002,2011,2011-01-23,Australia,normal,,4,B Lee,Australia,England,England,bat,GAV Baxter,PR Reiffel,Sydney Cricket Ground
1003,2011,2011-01-26,England,normal,21,,IJL Trott,Australia,England,England,bat,M Erasmus,SD Fry,Adelaide Oval
1004,2011,2011-01-30,Australia,normal,51,,CR Woakes,Australia,England,Australia,bat,Asad Rauf,RJ Tucker,"Brisbane Cricket Ground, Woolloongabba"
1005,2011,2011-02-02,Australia,normal,,2,IJL Trott,Australia,England,England,bat,M Erasmus,DJ Harper,Sydney Cricket Ground
1006,2011,2011-02-06,Australia,normal,57,,AC Voges,Australia,England,Australia,bat,Asad Rauf,PR Reiffel,Western Australia Cricket Association Ground
1007,2010,2010-07-16,Bangladesh,normal,,6,Shafiul Islam,Ireland,Bangladesh,Ireland,bat,HDPK Dharmasena,NA Malcolm,"Civil Service Cricket Club, Stormont"
1008,2010,2010-07-07,Ireland,normal,,5,KJ O'Brien,Canada,Ireland,Canada,bat,NA Malcolm,IN Ramage,VRA Ground
1009,2010,2010-08-16,Afghanistan,normal,,9,NA,Scotland,Afghanistan,Scotland,bat,EAR de Silva,IN Ramage,Cambusdoon New Ground
1010,2010,2010-08-17,Scotland,normal,,6,NA,Scotland,Afghanistan,Afghanistan,bat,EAR de Silva,IN Ramage,Cambusdoon New Ground
1011,2010,2010-05-28,Zimbabwe,normal,,6,BRM Taylor,Zimbabwe,India,India,bat,BG Jerling,RB Tiffin,Queens Sports Club
1012,2010,2010-05-30,India,normal,,7,RG Sharma,India,Sri Lanka,India,field,BG Jerling,RB Tiffin,Queens Sports Club
1013,2010,2010-06-01,Sri Lanka,normal,,9,S Randiv,Zimbabwe,Sri Lanka,Sri Lanka,field,O Chirombe,RE Koertzen,Queens Sports Club
1014,2010,2010-06-03,Zimbabwe,normal,,7,BRM Taylor,Zimbabwe,India,Zimbabwe,field,O Chirombe,RE Koertzen,Harare Sports Club
1015,2010,2010-06-05,Sri Lanka,normal,,6,LD Chandimal,India,Sri Lanka,Sri Lanka,field,RE Koertzen,RB Tiffin,Harare Sports Club
1016,2010,2010-06-07,Zimbabwe,normal,,8,BRM Taylor,Zimbabwe,Sri Lanka,Zimbabwe,field,RE Koertzen,RB Tiffin,Harare Sports Club
1017,2010,2010-06-09,Sri Lanka,normal,,9,TM Dilshan,Zimbabwe,Sri Lanka,Sri Lanka,field,RE Koertzen,RB Tiffin,Harare Sports Club
1018,2010,2010-06-15,Sri Lanka,normal,16,,Shahid Afridi,Sri Lanka,Pakistan,Sri Lanka,bat,BF Bowden,BR Doctrove,Rangiri Dambulla International Stadium
1019,2010,2010-06-16,India,normal,,6,G Gambhir,Bangladesh,India,Bangladesh,bat,BR Doctrove,BNJ Oxenford,Rangiri Dambulla International Stadium
1020,2010,2010-06-18,Sri Lanka,normal,126,,TM Dilshan,Sri Lanka,Bangladesh,Sri Lanka,bat,BF Bowden,BNJ Oxenford,Rangiri Dambulla International Stadium
1021,2010,2010-06-19,India,normal,,3,G Gambhir,India,Pakistan,Pakistan,bat,BF Bowden,BR Doctrove,Rangiri Dambulla International Stadium
1022,2010,2010-06-21,Pakistan,normal,139,,Shahid Afridi,Bangladesh,Pakistan,Pakistan,bat,BR Doctrove,BNJ Oxenford,Rangiri Dambulla International Stadium
1023,2010,2010-06-22,Sri Lanka,normal,,7,MF Maharoof,Sri Lanka,India,Sri Lanka,field,BF Bowden,BNJ Oxenford,Rangiri Dambulla International Stadium
1024,2010,2010-06-24,India,normal,81,,KD Karthik,Sri Lanka,India,India,bat,BF Bowden,BR Doctrove,Rangiri Dambulla International Stadium
1025,2010,2010-08-10,New Zealand,normal,200,,LRPL Taylor,India,New Zealand,New Zealand,bat,REJ Martinesz,SJA Taufel,Rangiri Dambulla International Stadium
1026,2010,2010-08-16,India,normal,,6,V Sehwag,Sri Lanka,India,Sri Lanka,bat,Asad Rauf,REJ Martinesz,Rangiri Dambulla International Stadium
1027,2010,2010-08-13,Sri Lanka,normal,,3,WU Tharanga,Sri Lanka,New Zealand,New Zealand,bat,HDPK Dharmasena,SJA Taufel,Rangiri Dambulla International Stadium
1028,2010,2010-08-25,India,normal,105,,V Sehwag,India,New Zealand,India,bat,Asad Rauf,EAR de Silva,Rangiri Dambulla International Stadium
1029,2010,2010-08-22,Sri Lanka,normal,,8,NLTC Perera,Sri Lanka,India,India,bat,Asad Rauf,HDPK Dharmasena,Rangiri Dambulla International Stadium
1030,2010,2010-08-28,Sri Lanka,normal,74,,TM Dilshan,Sri Lanka,India,Sri Lanka,bat,Asad Rauf,EAR de Silva,Rangiri Dambulla International Stadium
1031,2010,2010-10-29,South Africa,normal,,8,LL Tsotsobe,Pakistan,South Africa,Pakistan,bat,Asad Rauf,RJ Tucker,Sheikh Zayed Stadium
1032,2010,2010-10-31,Pakistan,normal,,1,Abdul Razzaq,Pakistan,South Africa,South Africa,bat,Aleem Dar,RJ Tucker,Sheikh Zayed Stadium
1033,2010,2010-11-02,South Africa,normal,2,,HM Amla,Pakistan,South Africa,Pakistan,field,Aleem Dar,RJ Tucker,Dubai International Cricket Stadium
1034,2010,2010-11-05,Pakistan,normal,,1,Younis Khan,Pakistan,South Africa,South Africa,bat,DJ Harper,Zameer Haider,Dubai International Cricket Stadium
1035,2010,2010-11-08,South Africa,normal,57,,JH Kallis,Pakistan,South Africa,South Africa,bat,DJ Harper,Nadeem Ghauri,Dubai International Cricket Stadium
1036,2010,2010-10-15,South Africa,normal,64,,CA Ingram,South Africa,Zimbabwe,South Africa,bat,Enamul Haque,M Erasmus,OUTsurance Oval
1037,2010,2010-10-17,South Africa,normal,,8,J Theron,South Africa,Zimbabwe,Zimbabwe,bat,Enamul Haque,BG Jerling,Senwes Park
1038,2010,2010-10-22,South Africa,normal,272,,JP Duminy,South Africa,Zimbabwe,South Africa,bat,JD Cloete,Enamul Haque,Willowmoore Park
1039,2011,2011-01-12,South Africa,normal,135,,LL Tsotsobe,South Africa,India,South Africa,bat,M Erasmus,SJA Taufel,Kingsmead
1040,2011,2011-01-15,India,normal,1,,MM Patel,South Africa,India,India,bat,BG Jerling,SJA Taufel,New Wanderers Stadium
1041,2011,2011-01-18,India,normal,,2,YK Pathan,South Africa,India,South Africa,bat,JD Cloete,SJA Taufel,Newlands
1042,2011,2011-01-21,South Africa,normal,48,,JP Duminy,South Africa,India,South Africa,bat,JD Cloete,SJA Taufel,St George's Park
1043,2011,2011-01-23,South Africa,normal,33,,HM Amla,South Africa,India,India,field,BG Jerling,SJA Taufel,SuperSport Park
1044,2010,2010-10-20,India,normal,,5,V Kohli,India,Australia,India,field,BF Bowden,SK Tarapore,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
1045,2010,2010-08-18,Ireland,normal,,9,NA,Ireland,Netherlands,Netherlands,bat,NG Bagh,JD Cloete,Clontarf Cricket Club Ground
1046,2010,2010-09-06,Canada,normal,4,,R Gunasekera,Canada,Ireland,Ireland,bat,K Bayney,CB Gaffaney,Toronto Cricket
1047,2011,2011-01-31,NA,no result,,,NA,Sri Lanka,West Indies,West Indies,bat,EAR de Silva,BNJ Oxenford,Sinhalese Sports Club Ground
1048,2011,2011-02-03,Sri Lanka,normal,,8,WU Tharanga,Sri Lanka,West Indies,Sri Lanka,field,HDPK Dharmasena,BNJ Oxenford,Sinhalese Sports Club Ground
1049,2011,2011-02-06,Sri Lanka,normal,26,,KC Sangakkara,Sri Lanka,West Indies,West Indies,field,EAR de Silva,BNJ Oxenford,Sinhalese Sports Club Ground
1050,2010,2010-11-28,India,normal,40,,V Kohli,India,New Zealand,New Zealand,field,NJ Llong,SK Tarapore,Nehru Stadium
1051,2010,2010-12-01,India,normal,,8,G Gambhir,India,New Zealand,India,field,SS Hazare,NJ Llong,Sawai Mansingh Stadium
1052,2010,2010-12-04,India,normal,,9,G Gambhir,India,New Zealand,India,field,RA Kettleborough,SK Tarapore,Reliance Stadium
1053,2010,2010-12-07,India,normal,,5,YK Pathan,India,New Zealand,India,field,RA Kettleborough,AM Saheba,M Chinnaswamy Stadium
1054,2010,2010-12-10,India,normal,,8,Yuvraj Singh,India,New Zealand,New Zealand,bat,RA Kettleborough,AM Saheba,"MA Chidambaram Stadium, Chepauk"
1055,2010,2010-08-19,NA,no result,,,NA,Sri Lanka,New Zealand,New Zealand,field,Asad Rauf,TH Wijewardene,Rangiri Dambulla International Stadium
1056,2011,2011-01-22,New Zealand,normal,,9,TG Southee,New Zealand,Pakistan,Pakistan,bat,CB Gaffaney,AM Saheba,Westpac Stadium
1057,2011,2011-01-26,NA,no result,,,NA,New Zealand,Pakistan,New Zealand,field,CB Gaffaney,AM Saheba,Queenstown Events Centre
1058,2011,2011-01-29,Pakistan,normal,43,,Mohammad Hafeez,New Zealand,Pakistan,New Zealand,field,GAV Baxter,AM Saheba,AMI Stadium
1059,2011,2011-02-01,Pakistan,normal,,2,Misbah-ul-Haq,New Zealand,Pakistan,New Zealand,bat,GAV Baxter,SJ Davis,McLean Park
