id,year,date,winner,result,win_by_runs,win_by_wickets,player_of_match,team1,team2,toss_winner,toss_decision,umpire1,umpire2,venue
1398,2015,2015-03-13,New Zealand,normal,,3,MJ Guptill,New Zealand,Bangladesh,New Zealand,field,HDPK Dharmasena,RA Kettleborough,Seddon Park
1399,2015,2015-03-13,England,normal,,9,CJ Jordan,Afghanistan,England,England,field,BF Bowden,S Ravi,Sydney Cricket Ground
1400,2015,2015-03-14,India,normal,,6,SK Raina,India,Zimbabwe,India,field,CB Gaffaney,BNJ Oxenford,Eden Park
1401,2015,2015-03-14,Australia,normal,,7,MA Starc,Australia,Scotland,Australia,field,IJ Gould,RK Illingworth,Bellerive Oval
1402,2015,2015-03-15,West Indies,normal,,6,JO Holder,United Arab Emirates,West Indies,West Indies,field,Aleem Dar,REJ Martinesz,McLean Park
1403,2015,2015-03-15,Pakistan,normal,,7,Sarfraz Ahmed,Ireland,Pakistan,Ireland,bat,M Erasmus,RSA Palliyaguruge,Adelaide Oval
1404,2015,2015-03-18,South Africa,normal,,9,Imran Tahir,South Africa,Sri Lanka,Sri Lanka,bat,NJ Llong,RJ Tucker,Sydney Cricket Ground
1405,2015,2015-03-19,India,normal,109,,RG Sharma,Bangladesh,India,India,bat,Aleem Dar,IJ Gould,Melbourne Cricket Ground
1406,2015,2015-03-20,Australia,normal,,6,JR Hazlewood,Australia,Pakistan,Pakistan,bat,HDPK Dharmasena,M Erasmus,Adelaide Oval
1407,2015,2015-03-21,New Zealand,normal,143,,MJ Guptill,New Zealand,West Indies,New Zealand,bat,RA Kettleborough,BNJ Oxenford,Westpac Stadium
1408,2015,2015-03-24,New Zealand,normal,,4,GD Elliott,New Zealand,South Africa,South Africa,bat,IJ Gould,RJ Tucker,Eden Park
1409,2015,2015-03-26,Australia,normal,95,,SPD Smith,Australia,India,Australia,bat,HDPK Dharmasena,RA Kettleborough,Sydney Cricket Ground
1410,2015,2015-03-29,Australia,normal,,7,JP Faulkner,Australia,New Zealand,New Zealand,bat,HDPK Dharmasena,RA Kettleborough,Melbourne Cricket Ground
1411,2013,2013-12-18,Pakistan,normal,11,,Mohammad Hafeez,Pakistan,Sri Lanka,Pakistan,bat,JD Cloete,Shozab Raza,Sharjah Cricket Stadium
1412,2013,2013-12-20,Sri Lanka,normal,,2,AD Mathews,Pakistan,Sri Lanka,Sri Lanka,field,Ahsan Raza,RK Illingworth,Dubai International Cricket Stadium
1413,2013,2013-12-22,Pakistan,normal,113,,Mohammad Hafeez,Pakistan,Sri Lanka,Sri Lanka,field,JD Cloete,Shozab Raza,Sharjah Cricket Stadium
1414,2013,2013-12-25,Pakistan,normal,,8,Mohammad Hafeez,Pakistan,Sri Lanka,Sri Lanka,bat,Ahsan Raza,RK Illingworth,Sheikh Zayed Stadium
1415,2013,2013-12-27,Sri Lanka,normal,,2,LD Chandimal,Pakistan,Sri Lanka,Pakistan,bat,JD Cloete,Shozab Raza,Sheikh Zayed Stadium
1416,2013,2013-08-27,Zimbabwe,normal,,7,H Masakadza,Zimbabwe,Pakistan,Pakistan,bat,RK Illingworth,RB Tiffin,Harare Sports Club
1417,2013,2013-08-29,Pakistan,normal,90,,Mohammad Hafeez,Zimbabwe,Pakistan,Zimbabwe,field,O Chirombe,RK Illingworth,Harare Sports Club
1418,2013,2013-08-31,Pakistan,normal,108,,Misbah-ul-Haq,Zimbabwe,Pakistan,Zimbabwe,field,RK Illingworth,TJ Matibiri,Harare Sports Club
